index	clu	clan	num_reprs	prelim_info	annotations	pfam_domains	mean_length	std_length	mean_pi	std_pi	apises	dbapis_clans	defense_systems	phrogs	pfam_ids	clu_netw
1	1264	1_clan; 6_clan; 9_clan	447	T7pRNAP, T3pRNAP, nan	nan: 222; RNA polymerase: 114; RNA polymerase,N4-like RNA polymerase: 64; N4-like RNA polymerase: 47	RNA_pol,RPOL_N: 447	892.1409395973154	16.190577507057572	7.012975391498882	0.4523673224939312	nan: 447	nan: 447	nan: 447	nan: 222; phrog_414: 79; phrog_414,phrog_2166: 59; phrog_2166: 47; phrog_414,phrog_20599: 20; phrog_20599: 7; phrog_414,phrog_36028: 6; phrog_2166,phrog_36028: 3; phrog_36028: 2; phrog_2166,phrog_414,phrog_36028: 2	PF00940.22,PF14700.9: 447	clu_1264
2	2969	4_clan; 8_clan	250	T7pSTPK, T3pSTPK, nan	protein kinase; inhibitor of host transcription; positively regulates RNaseIII; negatively on RNaseE,serine-threonine kinase,kinase: 214; protein kinase; inhibitor of host transcription; positively regulates RNaseIII; negatively on RNaseE,serine-threonine kinase,kinase,MarR family transcrition regulator: 35; hypothetical protein,serine-threonine kinase,kinase,protein kinase; inhibitor of host transcription; positively regulates RNaseIII; negatively on RNaseE,MarR family transcrition regulator: 1	nan: 250	349.004	19.786307788559608	6.87028	0.8558039044615106	nan: 137; APIS085: 113	nan: 137; CLAN020: 113	nan: 137; restriction-modification (RM);bacteriophage exclusion (BREX): 113	phrog_15752,phrog_2828,phrog_18305: 214; phrog_15752,phrog_1687,phrog_2828,phrog_18305: 35; phrog_3809,phrog_15752,phrog_2828,phrog_1687,phrog_18305: 1	nan: 250	clu_2969
3	6799	15_clan	226	T3p0.6, nan	hypothetical protein: 221; nan: 5	nan: 226	65.570796460177	3.5234877018451614	10.716902654867257	0.2132669882086467	nan: 226	nan: 226	nan: 226	phrog_2385: 221; nan: 5	nan: 226	clu_6799
4	9717	22_clan; 25_clan; 52_clan	189	nan, SAMase	SAM-dependent methyltransferase: 189	nan: 189	154.47619047619048	5.468061452528876	5.842910052910053	1.0481521213669613	APIS091: 177; APIS093: 12	CLAN015: 189	restriction-modification (RM);bacteriophage exclusion (BREX): 189	phrog_2226: 189	nan: 189	clu_9717
5	6958	33_clan	183	nan, Ocr	ocr-like anti-restriction: 183	ocr: 183	116.78142076502732	5.450706593272114	4.053060109289617	0.017554677345120742	APIS087: 84; APIS010: 65; APIS077: 33; APIS085: 1	CLAN020: 183	restriction-modification (RM);bacteriophage exclusion (BREX): 183	phrog_2568: 183	PF08684.13: 183	clu_6958
6	15258	1_clan	98	nan	nan: 98	RNA_pol,RPOL_N: 98	880.9081632653061	12.9655266428984	6.070408163265306	0.25005945011630315	nan: 98	nan: 98	nan: 98	nan: 98	PF00940.22,PF14700.9: 98	clu_15258
7	4353	285_pair	98	nan	hypothetical protein: 98	nan: 98	306.01020408163265	18.328893813090023	4.909285714285715	0.129473557384725	nan: 98	nan: 98	nan: 98	phrog_22983,phrog_4571: 51; phrog_4571: 47	nan: 98	clu_4353
8	9598	63_clan	67	nan	hypothetical protein: 67	nan: 67	99.46268656716418	11.550060157535786	9.549701492537315	0.34621752730019273	nan: 67	nan: 67	nan: 67	phrog_7066: 67	nan: 67	clu_9598
9	638	397_pair	67	nan	hypothetical protein: 67	nan: 67	38.134328358208954	0.9518008829846147	7.89	0.7512252617819729	nan: 67	nan: 67	nan: 67	phrog_11746: 67	nan: 67	clu_638
10	924	18_clan	65	nan	hypothetical protein: 65	nan: 65	63.87692307692308	5.641663352648348	9.358307692307692	0.7608888084642549	nan: 65	nan: 65	nan: 65	phrog_5058: 65	nan: 65	clu_924
